,StateCode,WardCode,WardName,LGACode,Urban,Source,Timestamp,GlobalID,AMAPCODE,X.x,WardName.x,urbanPercentage,classification_20,classification_30,classification_50,classification_75,X.y,WardName.y,median_rank,ranks,AdminLevel3,Population
22,TA,TRSDGA06,Kadarko,35003,No,INEC,3/16/2019,8445b0bb-ea63-4066-89d2-860dc80ae46a,NIE TRS DGA,71,Kadarko,0,Rural,Rural,Rural,Rural,19,Kadarko,27.5,19,Kadarko,24296
14,TA,TRSBAL07,Kaigama,35002,No,INEC,3/16/2019,f8a1b472-56c8-4df4-b90f-1d89bf12ae60,NIE TRS BAL,72,Kaigama,0.282549873,Rural,Rural,Rural,Rural,38,Kaigama,51,38,Kaigama,47700
153,TA,TRSYRR03,Kajong,35015,No,INEC,3/16/2019,8da126ba-75d2-4751-bd44-701e8831baec,NIE TRS YRR,73,Kajong,0,Rural,Rural,Rural,Rural,51,Kajong,64,51,Kajong,9386
106,TA,TRSSDA04,Kakara,35011,No,INEC,3/16/2019,a3032d74-2216-4905-96f8-a2d38937096d,NIE TRS SDA,74,Kakara,0,Rural,Rural,Rural,Rural,105,Kakara,103.5,105,Kakara,28466
161,TA,TRSTZG04,Kakulu,35016,No,INEC,3/16/2019,f7da5679-71e3-4dd8-b81d-082f9b0c2c0e,NIE TRS TZG,75,Kakulu,0,Rural,Rural,Rural,Rural,162,Kakulu,157.5,162,Monkin,18217
81,TA,TRSKLD06,Karim A,35008,No,INEC,3/16/2019,d8f3edc9-cb23-4c54-a346-4cf486000756,NIE TRS KLD,76,Karim A,0,Rural,Rural,Rural,Rural,128,Karim A,123.5,128,Karim A,27182
84,TA,TRSKLD07,Karim B,35008,No,INEC,3/16/2019,400e65ba-9f9a-48a9-9b5d-5a1d60a4db78,NIE TRS KLD,77,Karim B,0.031435755,Rural,Rural,Rural,Rural,143,Karim B,137,143,Karim B,25674
118,TA,TRSTTM06,Kashimbila,35012,No,INEC,3/16/2019,9da7cc45-e44a-45c7-8f9e-c493e2c3de21,NIE TRS TTM,78,Kashimbila,0,Rural,Rural,Rural,Rural,106,Kashimbila,103.5,106,Kashimbila,8590
155,TA,TRSYRR04,Kassa,35015,No,INEC,3/16/2019,acd369ef-a66a-41d4-9e4d-36013edb6682,NIE TRS YRR,79,Kassa,0,Rural,Rural,Rural,Rural,80,Kassa,83,80,Kassa,14997
143.1,TA,TRSWKR07,Kente,35014,No,INEC,3/16/2019,6e4d9ea1-0245-4fdb-8996-3f9bab23bd70,NIE TRS WKR,80,Kente,0,Rural,Rural,Rural,Rural,25,Kente,33,25,Kente,39595
67,TA,TRSJAL03,Kona,35007,No,INEC,3/16/2019,7e053fb6-24d2-47ff-8a27-c7d96291183a,NIE TRS JAL,81,Kona,0.000646295,Rural,Rural,Rural,Rural,14,Kona,24,14,Kona,57958
165,TA,TRSTZG05,Kosensi,35016,No,INEC,3/16/2019,a588efab-2636-49eb-b06a-95348afb39fc,NIE TRS TZG,82,Kosensi,0,Rural,Rural,Rural,Rural,131,Kosensi,126,131,Kotsensi,16545
132.1,TA,TRSUSS04,Kpambo 1,35013,No,INEC,3/16/2019,6aebb91d-72a1-4053-a0f5-49f71d08cf47,NIE TRS USS,83,Kpambo 1,0,Rural,Rural,Rural,Rural,29,Kpambo 1,39,29,Kpambo,20273
136,TA,TRSUSS05,Kpambo Puri,35013,No,INEC,3/16/2019,0515843e-ae62-40af-b8d8-f381d8a55da4,NIE TRS USS,84,Kpambo Puri,0,Rural,Rural,Rural,Rural,50,Kpambo Puri,63.5,50,Kpambo Purfi,18107
